Section,Checklist Question
Pollution Prevention and Control,"Is the sounding of cargo hold bilge, ballast tanks, chain lockers, pipe ducts and other void spaces regularly performed for accumulations of water, or alternative evidence of regular monitoring?"
Pollution Prevention and Control,Are suitable containment arrangements in place around the hydraulic components of deck machinery?
Pollution Prevention and Control,"Are the arrangements for detection and disposal of water from forecastle store and chain locker in good order, and are measures in place to prevent the accidental discharge of oil?"
Pollution Prevention and Control,"If a ballast water treatment system is fitted, is it in good order and are the officers familiar with its safe operation?"
Pollution Prevention and Control,Is an approved ballast water and sediment management plan provided and complied with?
Pollution Prevention and Control,"If ballast tanks are located adjacent to fuel oil tanks, or there is a possibility of contamination by hydraulic oil, are ballast tank contents being sampled to ensure there has been no contamination of the water by oil prior to discharge?"
Pollution Prevention and Control,"Are the emergency bilge suction and emergency overboard discharge valves in the engine room in good order and clearly identified with a notice warning against accidental opening and, is the area around the bilge injection suction bellmouth clear of debris and clean?"
Pollution Prevention and Control,Are arrangements for sludge collecting pumps free from any connection to a direct overboard discharge?
Pollution Prevention and Control,Are the Engine room Bilge pumping system and Oily Water Separator (OWS) in good order and being operated in accordance with MARPOL requirements?
Pollution Prevention and Control,Have specific warning signs been posted at the Oily Water Separator overboard discharge valve and effective sealing arrangements implemented to prevent accidental opening?
Pollution Prevention and Control,Is the steering compartment oily bilge water discharge arrangement satisfactory?
Pollution Prevention and Control,Has a declaration been provided by the shipper as to whether the cargo is harmful to the marine environment (HME)?
Pollution Prevention and Control,Has a Garbage Management Plan been provided and is the Garbage Record Book (GRB) being correctly maintained?
Pollution Prevention and Control,Are the garbage storage and disposal facilities in a tidy and hygienic condition?
Pollution Prevention and Control,Has the vessel been provided with a specific Ship Energy Efficiency Management Plan (SEEMP)?
Pollution Prevention and Control,Has the vessel been provided with an International Energy Efficiency Certificate?
Pollution Prevention and Control,If the vessel is provided with an exhaust gas cleaning system (scrubber system) are the engineers familiar with its safe operation and have procedures been incorporated in the Safety Management System?
Pollution Prevention and Control,Is the vessel free from any visible valve or pipeline leakage?
Pollution Prevention and Control,"Are the ballast pumping systems, their associated instruments, controls, valves, and pipework in good order and is there recorded evidence of regular inspection?"
Pollution Prevention and Control,Are the ballast valves in good order and being maintained?
Pollution Prevention and Control,Are ballast tank manholes being maintained in good condition?
Ship’s Structure,Is the vessel free of any hull repairs unreported to class? (V)?
Ship’s Structure,"Does the SMS include procedures for regular inspection of cargo holds, ballast tanks, void spaces, trunks, duct keel and cofferdams by the ship’s personnel and are records maintained? (V)?"
Ship’s Structure,Is the enhanced survey report file adequately maintained and does the condition evaluation report confirm the fitness of the ship for its intended service for the next five years?
Ship’s Structure,"Are the access points to cargo holds, ballast tanks, and void spaces including vertical ladders, spiral ladders, rungs, stations, and platforms being maintained and in good order? (V)?"
Ship’s Structure,Are the air pipes and sounding pipes in the cargo holds and void spaces in good condition? (V)?
Ship’s Structure,"Is if the vessel has a duct keel, is the access, mechanical ventilator, and lighting adequate and is it free of water? (V)?"
Ship’s Structure,Is the vessel free of any apparent structural defects? (V)?
Ship’s Structure,Are cargo hold ventilation systems being maintained in good condition? (V)?
Ship’s Structure,"Is adequate manifold spill containment provided under the bunker manifolds, and are they clean and empty? (V)?"
Ship’s Structure,Is bunker transfer system hydrostatically tested to their Maximum Allowable Working Pressure (MAWP) on an annual basis and to 1.5 times their MAWP at least twice within any five years period?
Ship’s Structure,"Are the drains, vents, and pressure gauges at the bunker manifolds in good order and blanks fitted when not in use? (V)?"
Ship’s Structure,"Are save-alls fitted around all fuel, diesel, and lubricating oil tank vents; are they clean and empty, and is the drain plug secured with a strap chain to a save-all? (V)?"
Ship’s Structure,"Are there procedures for analysis of fuel, lubricating and hydraulic oils, and are oil sampling requirements aligned with equipment manufacturer’s recommendations? (V & M)?"
Ship’s Structure,Are SMS guidelines for the mitigation of engine damage due to catalytic fines and other potentially injurious elements or containments in place and being followed? (V & M)?
Ship’s Structure,"Are bunkering and oil transfer operations carefully planned and executed in accordance with procedures, and are details of the last operation available? (V)?"
Ship’s Structure,"Can the vessel safely comply with the requirements of Emission Control Area (ECA) and other local requirements regarding use of very-low or ultra-low sulphur fuels in the main engine, auxiliary engines and boilers?"
Ship’s Structure,"Are ship-specific procedures to control the change from residual to low-sulphur / distillate fuels and vice versa provided, and is the fuel oil change over logbook and data collection system being maintained correctly? (V & M)?"
Ship’s Structure,Are the Quick Closing Valves of the fuel system being regularly tested and in good order? (V)?
Ship’s Structure,"Are high pressure fuel delivery pipes of diesel engines protected with a jacketed piping and alarm system, and is the alarm system being tested regularly and in good order? (V)?"
Ship’s Structure,"Are purifier rooms and fuel and lubricating oil handling areas ventilated, free of oil leaks and clean? (V)?"
Ship’s Structure,Is the reserve fuel tank of the emergency generator filled with sufficient fuel of a suitable type for at least 18 hours operation? (V)?
Ship’s Structure,"Is there an approved LNG Fuel Handing and Emergency Procedure Manual, and are crew familiar with the bunkering and emergency procedures such as leakage, fire or potential fuel stratification resulting in rollover?"
Ship’s Structure,"Do the master, engineering officers and all personnel with immediate responsibility for the care and use of fuels and fuel systems on ship, hold a certificate in advanced training for service on the ships subject to the IGF Code?"
Ship’s Structure,"Do seafarers responsible for designated safety duties associated with the care, use or emergency response to the fuel onboard the ship, hold a certificate in basic training for service on ships subject to the IGF Code?"
Ship’s Structure,Does the schedule of drills and exercises related to LNG fuels address potential emergency shipboard situations and has it been conducted effectively?
Ship’s Structure,Are hazardous areas marked with clearly visible warning signage and are the crew familiar with the special precautions and the risks for those areas?
Ship’s Structure,Are staff responsible for LNG bunkering aware of their responsibilities and actions to be taken in case of malfunction or emergency and are instructions and warning signs clearly posted on site for safe LNG bunkering operation?
Ship’s Structure,"Is the safety zone clearly marked and, have restrictions within the safety zone been enforced and followed?"
Ship’s Structure,Are the self-igniting lights of lifebuoys located in the hazardous area intrinsically safe?
Ship’s Structure,Is the LNG bunkering operator control panel fitted with an earth indicator light to indicate the faulty circuits and is the control panel free of any faulty earth indication during LNG bunkering?
Ship’s Structure,Is the main radio aerial earthed and are portable two-way UHF radios approved for use in hazardous areas?
Ship’s Structure,Has a pre-compatibility assessment and study of the weather and current forecast been carried out prior to confirming the bunkering operation and is there documented evidence of such assessment and study?
Ship’s Structure,Is all lighting around the bunker area Ex-rated and does it appear adequate to illuminate the bunker area?
Ship’s Structure,"Have the key components of the LNG bunkering system been identified, included within the PMS, maintained and where applicable, calibrated as per the manufacturer’s recommendation?"
Ship’s Structure,Is there a procedure for communication failure during LNG bunkering operation and are crew familiar with such a procedure?
Ship’s Structure,Is there an agreed method of tank pressure and temperature control between the delivering and receiving vessels and is there recorded evidence to show that both ships’ combined temperature and pressure range are within the safety limits before commencing LNG bunkering?
Ship’s Structure,Is there evidence to show that a detailed mooring plan was exchanged between the delivering and receiving vessels and has the master of the receiving vessel reviewed the type and size of fenders of the delivering vessel?
Ship’s Structure,Has the LNG hose handling operation been carried out and supervised by trained personnel?
Ship’s Structure,Is a water curtain system provided for the ship’s sides in way of manifold and is the manifold tray arrangement adequate and free of any sharp edges?
Ship’s Structure,Has the LNG fuels bunkering checklist been correctly completed and is there evidence to show that they are effectively managing their obligations as accepted in the checklist?
Ship’s Structure,Are LNG bunker lines being inerted immediately after completion of LNG bunkering and disconnection of hoses from the manifolds and before departure?
Ship’s Structure,Are system safety valves in good order and officers aware of the requirements?
Ship’s Structure,Is the receiving vessel in a high state of readiness at all times during LNG bunkering operations?
Ship’s Structure,Was the vessel provided with contingency plans for dealing with emergencies?
Ship’s Structure,Is the emergency shutdown system in good order and is there recorded evidence of regular testing?
Ship’s Structure,"Are tank domes, domes’ insulation, vapour and filling pipes’ insulation, manhole cover insulation and associated fittings in good order, free from leaks and corrosion?"
Ship’s Structure,Are LNG fuel tanks protected by an independent LNG tank level alarm device and is there recorded evidence to show that the device has been tested regularly?
Ship’s Structure,"Is there recorded evidence of regular calibration of thermometers, pressure gauges, the gas detection system and tank level gauges?"
Ship’s Structure,Is prevention of over-pressurization of the LNG transfer system in the event of activation of the ERS or the ESD documented in the LNG fuel-handing manual?
Ship’s Structure,"Are precautions to prevent electrostatic charge in the LNG bunker hose being taken and, have the minimum and maximum hose lengths and diameters that the hose support loading arm and/or hose saddles can support been documented in the LNG fuel-handing manual?"
Ship’s Structure,"Are the officers aware of any LNG bunker loading limitations for the vessel and are these limitations, if applicable, clearly posted at the LNG bunker operation panel?"
Ship’s Structure,Is the vessel provided with vessel manager’s procedures and relevant publications for the safe carriage and handling of solid bulk cargoes? (V)?
Ship’s Structure,Has appropriate information about the cargo and its characteristics been provided to the master prior to loading? (V)?
Ship’s Structure,"Has the Master been provided with a signed certificate or declaration, indicating the moisture content, Transportable Moisture Limit (TML) and density? (V & M)?"
Ship’s Structure,"Is information readily available on the ballasting and de-ballasting rate, the maximum allowable load per unit, the surface area of the tank-top plating, and the maximum allowable load per hold? (V)?"
Ship’s Structure,Is there an approved damaged stability / stability and loading booklet available? (V)?
Ship’s Structure,Is a Class-approved loading computer or programme in use and has the operational accuracy been regularly tested? (V)?
Ship’s Structure,"Are the stresses, stability information and any limitations included in the cargo plan understood by the cargo watch officers, and are conditions being monitored and maintained within design limits throughout the cargo operation? (V)?"
Ship’s Structure,"Are there procedures in place for loading, ballasting and de-ballasting of the ballast holds? (V)?"
Ship’s Structure,Are there guidelines and procedures for hold cleaning after completion of unloading? (V)?
Ship’s Structure,Is the vessel free of any limitations or restrictions specified in the Loading Manual or Trim and Stability Booklet? (V)?
Ship’s Structure,"Are officers familiar with the risk, hazard and carriage requirements of solid bulk cargo on board the ship? (V)?"
Ship’s Structure,"Have precautionary measures to minimise the risk of potential liquefaction and chemical reaction within the cargo during the voyage been incorporated in the procedures, and are these procedures being followed? (V)?"
Ship’s Structure,"Is if the solid bulk cargo is not listed in the IMSBC Code, has the Master been provided with a certificate from the shipper, endorsed by the competent authority of the port, stating the characteristics of the cargo and the required conditions for carriage and handling? (V)?"
Ship’s Structure,"Has as a cargo loading/unloading plan providing a detailed sequence of cargo and ballast transfer been prepared, understood, and signed off by the master and deck officers? (V)?"
Ship’s Structure,Is an adequate record of all cargo operation activities maintained during loading and unloading? (V)?
Ship’s Structure,Have details of cargo care during the voyage been adequately recorded? (V)?
Ship’s Structure,"Are the dangers associated with oxygen depletion of cargo understood by officers and crew, and have reasonable precautions been taken during routine inspections of the cargo, when entering the holds and adjacent spaces? (V)?"
Ship’s Structure,"Is if coal cargo is being carried, was the ship equipped with appropriate instruments for measuring the temperature of cargo, monitoring the atmosphere of the cargo hold and checking the pH value of cargo bilge sample? (V)?"
Ship’s Structure,Is any special emergency equipment required by IMSBC on board(as applicable) and in a state of readiness during the cargo operation? (V)?
Ship’s Structure,Has the vessel manager provided policy statements and relevant publications for the safe carriage and handling of grain in bulk? (V)?
Ship’s Structure,Has appropriate information about the cargo and its characteristics been provided to the master or master’s representative prior to loading? (V & M)?
Ship’s Structure,Has the grain cargo been examined and sampled during loading to ensure that the apparent conditions meet the requirements as described in the documentation and is there recorded evidence of regular monitoring where applicable? (V)?
Ship’s Structure,Is the approved document of authorisation and grain stability booklet (Grain Loading Manual) provided?
Ship’s Structure,"Is if the document of authorisation was not provided, can the master demonstrate the compliance of the ship’s stability with the Grain Code? (V)?"
Ship’s Structure,Is a Class-approved loading computer or programme in use and has its operational accuracy been regularly tested? (V)?
Ship’s Structure,Are regular monitoring of stress and stability being maintained throughout cargo operations and is the vessel’s condition being maintained within design limits? (V)?
Ship’s Structure,"Are there procedures in place for loading, ballasting and de-ballasting of the ballast holds? (V)?"
Ship’s Structure,Are there guidelines and procedures for hold cleaning in place (V)?
Ship’s Structure,"Have cargo holds been grain or hospital cleaned, where applicable, and has a ship’s hold inspection certificate been issued by a 3rd party prior to loading grain? (V & M)?"
Ship’s Structure,Is the vessel free of any limitations or restrictions specified in the loading manual or trim and stability booklet? (V)?
Ship’s Structure,"Are officers familiar with the risk, hazard and carriage requirements of grain cargo on board the ship? (V)?"
Ship’s Structure,Have hatch covers been ultrasonically tested for weather tightness before loading? (V & M)?
Ship’s Structure,"Has the master been provided with clear instructions regarding any fumigation, prior to arrival at the load port? (V)?"
Ship’s Structure,Has the vessel been provided with procedures and contingencies regarding fumigation of cargo holds and are the master and chief officer familiar with the procedure? (V)?
Ship’s Structure,"Is if the vessel is carrying cargo under fumigation, are the requirements of the IMO recommendations on safe use of pesticides being met? (V)?"
Ship’s Structure,Do on-board safety requirements for fumigation comply with sub-section 3.3.2.7 of the IMO recommendation on the safe use of pesticides? (V)?
Ship’s Structure,Are the master’s appointed representatives for fumigation trained and is there evidence to show that they have been effectively performing duties associated with this task? (V)?
Ship’s Structure,Have pre-fumigation and post fumigation statements been provided to the master by the fumigator-in-charge? (V)?
Ship’s Structure,Are visible means provided to prevent access to all entrances containing fumigant and other spaces that are considered unsafe to enter after fumigation? (V)?
Ship’s Structure,"Has the Voyage Safety Plan (VSP), including the checklist for fumigation during the voyage, been discussed with and signed by the master prior to sailing to the discharge port? (V)?"
Ship’s Structure,"Has as a cargo loading/unloading plan providing a detailed sequence of cargo and ballast transfer been prepared, understood, and signed off by the master and deck officers? (V)?"
Ship’s Structure,Are procedures in place for entering any cargo holds sealed for fumigation in transit? (V)?
Ship’s Structure,Has the master informed the appropriate authorities of the country of destination about the fumigation? (V)?
Ship’s Structure,Has the vessel been provided with a gas free certificate at the discharge port prior to commencement of discharge operation? (V)?
Ship’s Structure,Are records maintained of fumigation operations? (V)?
Ship’s Structure,"Are necessary instruments (with spares) to determine the dew point provided, maintained in good condition and are there records of the calibration of such instruments? (V)?"
Ship’s Structure,Are the master and / or chief officer familiar with the rules for deciding to ventilate the cargo holds during the voyage? (V)?
Ship’s Structure,"Is ventilation of cargo holds, where required, being carried out and recorded? (V)?"
Ship’s Structure,Is there evidence of a satisfactory grain stability calculation for the last voyage?
Ship’s Structure,"Has a cargo loading/unloading plan providing detailed sequences of cargo and ballast transfer been prepared, understood, and signed off by the deck officers? (V)?"
Ship’s Structure,Are the hold bilges cleaned prior to loading and have all hold openings been made grain tight? (V)?
Ship’s Structure,"Do records on board verify that cargo lights in holds, where fitted, were properly isolated before cargo was loaded? (V)?"
Ship’s Structure,Is an adequate record of all cargo operation activities maintained during loading and unloading? (V)?
Ship’s Structure,"Are the dangers associated with oxygen depletion of grain cargo understood by officers and crew, and have reasonable precautions been taken during routine inspections of the cargo, when entering the holds and adjacent spaces? (V)?"
Ship’s Structure,"Are policy statements and relevant publications for the safe stowage, securing and handling of the cargo unit and timber available on board? (V)?"
Ship’s Structure,Has appropriate information about the cargo and its characteristics been provided to the master or master’s representative prior to loading? (V)?
Ship’s Structure,"Is if dangerous goods are carried in packaged form, have appropriate documents been provided to the vessels? (V)?"
Ship’s Structure,Are procedures for safe lashing and securing operations incorporated in the ship’s SMS?
Ship’s Structure,Is an approved ship-specific Cargo Securing Manual available and are officers thoroughly familiar with the contents of the manual? (V)?
Ship’s Structure,Are records maintained of the regular inspection and maintenance of the cargo-securing devices on board the ship? (V)?
Ship’s Structure,Are there procedures for the removal of damaged lashing devices from service? (V)?
Ship’s Structure,Is there evidence to show that samples of the timber cargoes are being weighed during loading and what is the actual weight compared to the weight stated by the shipper? (V)?
Ship’s Structure,"Is if the vessel is a timber carrier, have up to date lashing plans for each stowage and securing arrangement been incorporated in the Cargo Securing Manual? (V)?"
Ship’s Structure,"Is if the vessel is a timber carrier, has a lashing plan according to the ship’s Cargo Securing Manual been prepared? (V)?"
Ship’s Structure,"Has a pre-stowage plan been prepared prior to the vessel’s arrival at the load port, taking into account any deck cargo and anticipated stability throughout the voyage? (V)?"
Ship’s Structure,"Are officers aware of the strength limits of tank tops, tween decks, hatch covers and weather decks with regards to safe cargo stowage and is this information posted in the ship’s office/ ballast control room? (V)?"
Ship’s Structure,Have pre-stowage and stowage plans been prepared and completed effectively? (V)?
Ship’s Structure,"Is there evidence to show that evaluation of forces acting on the cargo unit have been calculated, and correct cargo-securing devices are being used to secure the cargo to the ship? (V)?"
Ship’s Structure,Have personnel engaged in cargo securing operations been provided with relevant training and familiarisation? (V)?
Ship’s Structure,"Is if the vessel is carrying timber deck cargo, are relevant regulations of the applicable Load-Line Convention for stowage and securing of timber as prescribed in the ship’s Cargo Securing Manual being followed? (V)?"
Ship’s Structure,"Is if the vessel is carrying timber, are instructions for ballast water exchange operations for the intended voyage available in the Ballast Water Management Plan? (V)?"
Ship’s Structure,Can timber deck cargo be jettisoned into the sea in a controlled manner in an emergency? (V)?
Ship’s Structure,"Is if the vessel is a non-cellular ship, have the containers been stowed correctly on deck? (V)?"
Ship’s Structure,Is there a procedure for monitoring the temperature of refrigerated containers and are records maintained? (V)?
Ship’s Structure,"Is if refrigerated containers are carried, are sufficient spare parts available on board? (V)?"
Ship’s Structure,"Is if refrigerated containers are carried, is the electric power supply permanently installed from the engine room and are the ship’s electrical distribution system and electric container sockets in good condition and undamaged? (V)?"
Ship’s Structure,Are pre-loading/acceptance procedures for the carriage of vehicles on board a ro-ro cargo ship incorporated in the SMS? (V)?
Ship’s Structure,Is the ro-ro cargo ship equipped with CCTV remote monitoring to monitor the vehicle decks? (V)?
Ship’s Structure,"Is the ro-ro cargo ship drainage system in good order, tested regularly and are effective measures in place to prevent blocking of drains? (V)?"
Ship’s Structure,Is the ro-ro cargo ship provided with an approved Operating and Maintenance Manual (OMM)? (V)?
Ship’s Structure,"Are procedures in place to carry out function and tightness testing of bow, inner, side shell, stern doors and main to lower deck cargo elevators of ro-ro cargo ships and is there evidence of regular testing? (V)?"
Ship’s Structure,Is an operation manual for the ventilation system in a ro-ro cargo space provided and do records on board verify that the air quality is tested? (V)?
Ship’s Structure,"Is the ro-ro ship fitted with an automatic system to control air quality in the cargo holds and are records of inspection, testing, calibration, and maintenance of the system being maintained? (V)?"
Ship’s Structure,Are vehicles on the ro-ro car decks safely stowed and secured? (V)?
Ship’s Structure,Has the vessel been provided with procedures and contingencies with regards to fumigation of cargo holds and are the master and chief officer familiar with the procedure? (V)?
Ship’s Structure,"Have the air conditioning intakes for the accommodation, the engine room and other spaces been set to prevent the possibility of drawing in fumigant gas? (V)?"
