Checklist Question,Matched Subcategories,Scores
Have operational checks on navigational equipment been done and are checklists being effectively completed when preparing for sea and prior to port entry? (V)?,Facilities for reception of marine safety information # Operation/maintenance # Gyro compass,0.756 # 0.742 # 0.741
Are there records indicating that routine tests and checks of bridge equipment are being undertaken regularly? (V)?,Maintenance of Fire protection systems # Maintenance of Life Saving Appliances # Maintenance and inspections,0.701 # 0.685 # 0.683
Has the master/pilot information exchange been taking place effectively and is the standard pilot card being completed as required? (V)?,Pilot ladders and hoist/pilot transfer arrangements # Facilities for reception of marine safety information # Use of the automatic pilot,0.668 # 0.664 # 0.644
Does the vessel’s manager produce a guideline for under keel clearance and air draft clearance?,Load lines (including Exemption) # Freeboard marks # Ventilation (Accommodation),0.707 # 0.694 # 0.694
Are the fire and safety rounds being conducted at the end of each watch? (V)?,Certificate for advanced fire-fighting # Abandon ship drills # Fire drills,0.735 # 0.703 # 0.701
Does the manning level in the bridge at all stages of the voyage and anchor meet or exceed that required by the Bridge Manning Matrix and are lookout arrangements adequate? (V)?,Monitoring of voyage or passage plan # Navigation bridge visibility # Manning specified by the minimum safe manning doc,0.722 # 0.719 # 0.715
Is navigation equipment in good order? (V)?,Gyro compass # Type approval equipment # Facilities for reception of marine safety information,0.735 # 0.732 # 0.723
"Are navigation lights, emergency navigation lights, shapes and signalling equipment in working order? (V)?","Lights, shapes, sound-signals # Signalling lamp # Emergency lighting, batteries and switches",0.731 # 0.713 # 0.701
"Is was the Bridge Navigational Watch Alarm System operational when the ship was underway and at anchor, and required tests conducted and recorded accordingly? (V)?",Bridge Navigational Watch Alarm System (BNWAS) # Steering-gear alarm # Revolution counter,0.770 # 0.731 # 0.726
"Is where fitted are the standard magnetic compass, gyro compass and Global Navigation Satellite System compass, operational, adjusted and properly maintained? (V & M)?",Magnetic compass # Gyro compass # MF radio installation,0.721 # 0.671 # 0.638
"Is where manual steering is engaged, is the change over from auto steering, and vice versa, recorded? (V)?",Steering gear # Use of the automatic pilot # Records of drills and steering gear tests,0.673 # 0.660 # 0.653
Are deck officers familiar with the procedure to preserve the VDR data in the event of an incident and is there a company policy within the SMS relating to the playback of VDR data? (V)?,Voyage Data Recorder (VDR) / Simplified Voyage Data Recorder (S-VDR) # Facilities for reception of marine safety information # Operation of GMDSS equipment,0.781 # 0.741 # 0.732
"Is a chart and publication management system being implemented to ensure that all charts, nautical publications, and other publications on board are current, maintained and up to date? (V & M)?",Nautical publications # Charts # Facilities for reception of marine safety information,0.701 # 0.682 # 0.675
Is were appropriate charts and publication used for the previous voyage? (V)?,Charts # Nautical publications # Electronic charts (ECDIS),0.750 # 0.736 # 0.709
Can the master and watch-keeping officer demonstrate a familiarity with the use of ECDIS? (V)?,Charts # Electronic charts (ECDIS) # Certificate for rating for watchkeeping,0.694 # 0.693 # 0.682
Is the ECDIS of an approved type and does it meet the SOLAS requirement?,Type approval equipment # Charts # Cargo ship safety radio (including exemption),0.756 # 0.693 # 0.684
Are T&P NMs and navigation warnings being used correctly in voyage planning and monitoring? (V)?,Facilities for reception of marine safety information # Navigation records # Nautical publications,0.762 # 0.732 # 0.726
Has the vessel been safely navigated in compliance with international and inland regulations? (V)?,Load lines (including Exemption) # Facilities for reception of marine safety information # Navigation bridge visibility,0.732 # 0.727 # 0.726
"Are records available to show that the echo-sounder recorder is being switched on prior to each approach to shallow water, port entry and departure and has the echo sounder remained in operation while the vessel has been transiting in shallow waters? (V)?",Echo sounder # Navigation records # Voyage Data Recorder (VDR) / Simplified Voyage Data Recorder (S-VDR),0.769 # 0.730 # 0.715
Is was the berth-to-berth passage plan of the previous voyage comprehensive and approved by the master? (V)?,Monitoring of voyage or passage plan # Voyage or passage plan # Ship security plan,0.724 # 0.722 # 0.721
"Have the parallel index techniques been used when monitoring the passage in coastal and pilotage waters, particularly in conditions of restricted visibility or at night? (V)?",Facilities for reception of marine safety information # Rate-of-turn indicator # Nautical publications,0.710 # 0.696 # 0.696
Is was the track of the ship monitored at sea and during the pilotage? (V)?,Speed and distance indicator # Rate-of-turn indicator # Facilities for reception of marine safety information,0.733 # 0.723 # 0.723
Has the GPS been adjusted to the correct Geodetic Datum and are officers aware of the value of HDOP and is it posted next to the GPS? (V)?,VHF EPIRB # GNSS receiver/terrestrial radio navigation system # Magnetic compass,0.668 # 0.666 # 0.664
Does the vessel utilise a weather routeing service? (V)?,Facilities for reception of marine safety information # INMARSAT ship earth station # MF radio installation,0.727 # 0.685 # 0.670
"Are procedures in place controlling the use of mobile phone, internet, and email services on the bridge? (V)?",Access control to ship # Means of communication between safety centre and other control stations # Facilities for reception of marine safety information,0.664 # 0.654 # 0.639
Has the vessel’s manager established a documented system for personnel to effectively implement the ISM Code? (V)?,ISM # Document of compliance (DoC/ ISM) # Safety management certificate (SMC/ ISM),0.779 # 0.771 # 0.733
"Has a safety officer been appointed and trained, and is the safety officer familiar with the principles and practice of risk assessment? (V)?","Risk evaluation, training and instruction to seafarers # Pilot ladders and hoist/pilot transfer arrangements # Certificate for personnel on tankers",0.694 # 0.648 # 0.648
Are records of the latest shipboard internal and external audits available and are actions being initiated to correct any non-conformities?,Logbook entries referring AFS # Security related defects # Other (AFS),0.699 # 0.684 # 0.684
"Does the master periodically review the effectiveness of the onboard Safety Management System, report the findings to shore based management and receive feedback from them?","Facilities for reception of marine safety information # Unattended machinery spaces (UMS) evidence # Procedure for inspection, reporting and correcting unsafe conditions and for investigating and reporting on-board occupational accidents",0.684 # 0.682 # 0.681
"Are enclosed space entry procedures defined, up to date and accurate in the safety management system, and is a specific list of enclosed spaces clearly defined on board ,and are the ship’s personnel familiar with the enclosed space entry procedures? (V)?",Entry dangerous spaces # Enclosed space entry and rescue drills # Tank entry,0.785 # 0.752 # 0.746
Is entry into and rescue from enclosed space training undertaken and are regular drills conducted? (V)?,Enclosed space entry and rescue drills # Security drills # Entry dangerous spaces,0.775 # 0.718 # 0.709
"Are procedures in place for the control of hot work, are they incorporated in the safety management system and is there documented evidence of compliance?","Protection machinery # Ship's occupational safety and health policies and programmes # Risk evaluation, training and instruction to seafarers",0.691 # 0.668 # 0.662
Has a specific permit to work and effective Lock-Out/Tag-Out (LOTO) system been introduced for high-risk duties and are the permits being used effectively? (V)?,Measures to ensure transmission to seafarer's family # Wages # Seafarer' employment agreement SEA,0.653 # 0.653 # 0.647
Is there a schedule of drills and exercises to address potential emergency shipboard situations and is it being conducted effectively? (V)?,Security drills # Abandon ship drills # Fire drills,0.779 # 0.771 # 0.759
"Are there procedures for reporting, investigation and close-out of non-conformities, accidents, and hazardous situations available and are they being followed? (V)?","Procedure for inspection, reporting and correcting unsafe conditions and for investigating and reporting on-board occupational accidents # Investigation after accident # Other (accident prevention)",0.725 # 0.707 # 0.692
Has a PPE Matrix for use of personal protective equipment been provided and is it being worn as required? (V)?,Personal equipment # Personal protection,0.768 # 0.712 # 0.705
"Are on-board safety meetings held regularly and, are they reviewed by the vessel’s manager and feedback provided where necessary?","Ship's safety committee # Procedure for inspection, reporting and correcting unsafe conditions and for investigating and reporting on-board occupational accidents # Facilities for reception of marine safety information",0.721 # 0.677 # 0.676
Is a completed IMSBC/BLU Code ship/shore safety checklist for loading and unloading dry bulk carriers available and are the requirements of the checklist complied with?,Ship Energy Efficiency Management plan # Stability/strenght/loading information and instruments # Cargo density declaration,0.775 # 0.723 # 0.704
Are Water Ingress Detector System(WIDS) and alarms maintained in good condition and are the records of tests being maintained? (V & M)?,Water level detectors on single hold cargo ships # Maintenance of Fire protection systems # Maintenance and inspections,0.672 # 0.662 # 0.650
Has a smoking policy been implemented; is it being followed and are designated smoking areas adequately identified? (V)?,"Cleanliness # Dirty, parasites",0.664 # 0.650 # 0.648
"Are portable gas detectors suitable for atmosphere testing of enclosed spaces provided; in good condition; calibrated in accordance with the manufacturer’s instructions, and are officers trained and competent with their operation? (V & M)?",Atmosphere testing instruments # Gas instruments,0.717 # 0.701 # 0.687
Is welding and gas burning equipment in good order and properly stored? (V & M)?,Ready availability of fire fighting equipment # Maintenance of Fire protection systems # Protection machinery,0.657 # 0.653 # 0.635
"Are the lifeboats, rescue boat and davit-launched life raft; their equipment and launching arrangements being serviced periodically; in good condition, and are the crew familiar with the launching procedure and operation? (V & M)?",Means of recovery of life saving appliances # Launching arrangements for survival craft # Embarkation arrangement survival craft,0.759 # 0.750 # 0.718
Are life rafts in good order and are hydrostatic release units maintained and installed correctly? (V & M)?,Launching arrangements for survival craft # Inflatable liferafts # Stowage of liferafts,0.703 # 0.701 # 0.685
"Are life jackets in good condition, allocated as per the plan and donning instructions clearly displayed? (V & M)?",Lifejackets incl. provision and disposition # Embarkation arrangement survival craft # Damage control plan,0.679 # 0.666 # 0.660
"Are immersion suits and anti-exposure suits of an approved type, in good condition, correctly stowed, readily accessible and of the appropriate size? (V & M)?",Anti-exposure suits # Immersion suits # Performance standards for radio equipment,0.684 # 0.672 # 0.645
"Are IMO symbols to identify the location of life saving equipment, firefighting equipment and hazardous area displayed appropriately and in good condition? (V)?",Location of emergency installations # Marking of IMO number # Performance standards for radio equipment,0.764 # 0.673 # 0.645
"Has a sample of foam compound, applicable to both fixed and portable systems, been sent for regular testing and is evidence of satisfactory results available?",Fixed fire extinguishing installation # Insulation # Fire protection cargo deck area,0.640 # 0.639 # 0.629
"Are fire mains and associated isolation valves, fire boxes, hoses, nozzles, applicators, and spanners regularly inspected and maintained and found to be in a satisfactory operating condition? (V & M)?",Maintenance of Fire protection systems # Ready availability of fire fighting equipment # Fire fighting equipment and appliances,0.717 # 0.703 # 0.681
Are the International Shore Connection fitting arrangements clearly marked and well maintained and are the crew aware of their location? (V)?,International shore-connection # Facilities for reception of marine safety information # Safe means of access shore - ship,0.713 # 0.690 # 0.682
Are records available to show that fixed fire detection and alarm systems have been tested at regular intervals and maintained in good condition? (V)?,Maintenance of Fire protection systems # Fire detection # Fixed fire extinguishing installation,0.724 # 0.711 # 0.694
"Are the fixed fire extinguishing systems (where fitted) inspected, tested and in good order? (V & M)?",Maintenance of Fire protection systems # Fixed fire extinguishing installation # Ready availability of fire fighting equipment,0.699 # 0.698 # 0.678
"Is the emergency fire pump being regularly tested, in good operational condition and are starting instructions clearly posted? (V)?",Emergency fire pump and its pipes # Maintenance of Fire protection systems # Ready availability of fire fighting equipment,0.718 # 0.683 # 0.683
"Are portable fire extinguishers being maintained in good order, and ready for immediate use in an emergency? (V)?",Ready availability of fire fighting equipment # Fire fighting equipment and appliances # Emergency fire pump and its pipes,0.737 # 0.737 # 0.698
Are firemen’s outfits including their equipment and breathing apparatus in good condition and available for instant use? (V & M)?,Fire fighting equipment and appliances # Ready availability of fire fighting equipment # Personal equipment,0.716 # 0.712 # 0.686
"Is the operation and maintenance of the breathing apparatus air recharging system (where fitted) incorporated in the ship’s safety management manual, and has the annual air quality check for breathing apparatus air recharging systems been carried out? (V & M)?","Operation/maintenance # Technical Files and if applicable, monitoring manual # Unattended machinery spaces (UMS) evidence",0.723 # 0.704 # 0.702
"Are records available to show that emergency escape breathing devices (EEBDs) in the accommodation and engine room are being inspected, in good condition and are available for instant use? (V & M)?","Emergency escape breathing Device and disposition # Means of recovery of life saving appliances # Ventilators, air pipes, casings",0.774 # 0.708 # 0.707
Are ventilation fire dampers clearly marked with open/close positions and space served and is there evidence of regular testing and maintenance? (V)?,Fire-dampers # Fire doors/openings in fire-resisting divisions # Maintenance of Fire protection systems,0.696 # 0.683 # 0.645
"Are Material Safety Data Sheets (MSDS) for all bunkers, chemicals, paint, corrosive, and toxic materials available, and are all crew familiar with their contents? (V)?",Material safety data sheets # Dangerous liquid chemicals in bulk # Bunker delivery notes,0.704 # 0.699 # 0.687
Is a safe means of access to the vessel being provided? (V)?,Safe means of access shore - ship # Safe means of access # Safe access to tanker bows,0.781 # 0.759 # 0.755
"Are accommodation ladders and gangways maintained in good condition, marked clearly, and inspected regularly (V)?","Gangway, accommodation-ladder # Safe means of access shore - ship # Access/structure",0.740 # 0.737 # 0.723
"Are pilot ladders used for pilot transfer in good condition and inspected regularly, clearly identified with tags or with permanent marking and are maintenance records available? (V)?",Pilot ladders and hoist/pilot transfer arrangements # Safe means of access # Safe means of access shore - ship,0.750 # 0.729 # 0.716
Has the vessel been provided with ship-specific fire safety and SOLAS training manuals and operational booklets? (V)?,Fire drills # Cargo ship safety equipment (including exemption) # Fire control plan,0.770 # 0.764 # 0.759
"Is if the vessel is provided with a helicopter operating area, does the area comply with the requirements of ICS guidelines, and is there a safe access from the hatch cover to deck? (V)?",Helicopter landing and pick-up area # Safe means of access # Safe means of access shore - ship,0.745 # 0.720 # 0.718
Is an up-to-date muster list with ship specific emergency instructions displayed? (V)?,Muster list # Fire control plan # Facilities for reception of marine safety information,0.769 # 0.726 # 0.713
"Are the crew familiar with the helicopter operation at sea, and are records available to show that the proper communication, shipboard helicopter safety checklist and specific risk assessment conducted prior to helicopter operation? (V)?","Operation of GMDSS equipment # Helicopter landing and pick-up area # Risk evaluation, training and instruction to seafarers",0.750 # 0.740 # 0.734
Is the Oil Record Book (Part 1) completed correctly?,Log-books/compulsory entries # Record book engine parameters # Retention of oil on board,0.735 # 0.691 # 0.678
"Is an approved MARPOL Shipboard Oil Pollution Emergency Plan (SOPEP) available, and up to date and are ship’s personnel familiar with their duties?",Shipboard Marine Pollution emergency operations # Shipboard oil pollution emergency plan (SOPEP) # International Oil Pollution Prevention (IOPP),0.814 # 0.799 # 0.744
Are the ship’s personnel aware of the requirements of MARPOL Annex V with respect to the disposal of operational waste and cargo residues from ships?,Placards # Garbage # Retention of oil on board,0.761 # 0.750 # 0.743
"Are scupper plugs fitted, in satisfactory condition, and are scupper filters readily available for draining rainwater on deck when the vessel is involved in solid bulk cargo operations?","Scuppers, inlets and discharges # Manholes / flush scuttles # Cargo and other hatchways",0.734 # 0.688 # 0.672
Is the vessel free from any visible bulkhead leakage?,Bulkheads - operational damage # Bulkhead –corrosion # Manholes / flush scuttles,0.721 # 0.703 # 0.702
"Are the cargo hold bilge pumping systems and bilge arrangements appropriately set, in good order and tested?","Bilge pumping arrangements # Pumping, piping and discharge arrangements # Cargo transfer - Tankers",0.760 # 0.714 # 0.690
"Is the sounding of cargo hold bilge, ballast tanks, chain lockers, pipe ducts and other void spaces regularly performed for accumulations of water, or alternative evidence of regular monitoring?","Water level detectors on single hold cargo ships # Pumping, piping and discharge arrangements # Bulkheads - operational damage",0.733 # 0.706 # 0.699
Are suitable containment arrangements in place around the hydraulic components of deck machinery?,"Machinery space openings # Obstruction/slipping, etc. # Ventilators, air pipes, casings",0.699 # 0.683 # 0.682
"Are the arrangements for detection and disposal of water from forecastle store and chain locker in good order, and are measures in place to prevent the accidental discharge of oil?","Oil / water interface detector # Retention of oil on board # Pumping, piping and discharge arrangements",0.716 # 0.715 # 0.712
"If a ballast water treatment system is fitted, is it in good order and are the officers familiar with its safe operation?","Ballast Water Management Certificate # Ballast, fuel and other tanks # Loading/Ballast condition (Tanker)",0.749 # 0.748 # 0.739
Is an approved ballast water and sediment management plan provided and complied with?,Ballast Water Management Certificate # Garbage management plan # Loading/Ballast condition (Tanker),0.716 # 0.673 # 0.669
"If ballast tanks are located adjacent to fuel oil tanks, or there is a possibility of contamination by hydraulic oil, are ballast tank contents being sampled to ensure there has been no contamination of the water by oil prior to discharge?","Segregation of oil and water ballast # Ballast, fuel and other tanks # Loading/Ballast condition (Tanker)",0.795 # 0.773 # 0.736
"Are the emergency bilge suction and emergency overboard discharge valves in the engine room in good order and clearly identified with a notice warning against accidental opening and, is the area around the bilge injection suction bellmouth clear of debris and clean?","Scuppers, inlets and discharges # Pumping, piping and discharge arrangements # Bilge pumping arrangements",0.761 # 0.755 # 0.730
Are arrangements for sludge collecting pumps free from any connection to a direct overboard discharge?,"Pumping, piping and discharge arrangements # Sewage discharge connection # Scuppers, inlets and discharges",0.760 # 0.714 # 0.713
Are the Engine room Bilge pumping system and Oily Water Separator (OWS) in good order and being operated in accordance with MARPOL requirements?,"Oil filtering equipment # Pumping, piping and discharge arrangements # Bilge pumping arrangements",0.804 # 0.771 # 0.765
Have specific warning signs been posted at the Oily Water Separator overboard discharge valve and effective sealing arrangements implemented to prevent accidental opening?,"Scuppers, inlets and discharges # Oil filtering equipment # Pumping, piping and discharge arrangements",0.755 # 0.736 # 0.732
Is the steering compartment oily bilge water discharge arrangement satisfactory?,"Bilge pumping arrangements # Pumping, piping and discharge arrangements # Oil filtering equipment",0.702 # 0.699 # 0.688
Has a declaration been provided by the shipper as to whether the cargo is harmful to the marine environment (HME)?,Dangerous goods or harmful substances in pack. Form # Stowage # Stability Information Booklet,0.758 # 0.741 # 0.730
Has a Garbage Management Plan been provided and is the Garbage Record Book (GRB) being correctly maintained?,Other (MARPOL Annex V) # Garbage record book # Garbage management plan,0.725 # 0.657 # 0.653
Are the garbage storage and disposal facilities in a tidy and hygienic condition?,"Cleanliness # Dirty, parasites",0.682 # 0.675 # 0.667
Has the vessel been provided with a specific Ship Energy Efficiency Management Plan (SEEMP)?,International Energy Efficiency Cert # Records of seafarers' daily hours of work or rest # Ship Energy Efficiency Management plan,0.763 # 0.709 # 0.697
Has the vessel been provided with an International Energy Efficiency Certificate?,International Energy Efficiency Cert # Engine International Air Pollution Prevention Cert # Load lines (including Exemption),0.782 # 0.742 # 0.736
If the vessel is provided with an exhaust gas cleaning system (scrubber system) are the engineers familiar with its safe operation and have procedures been incorporated in the Safety Management System?,"Approved doc exhaust gas cleaning system # Tank washing equipment # Technical Files and if applicable, monitoring manual",0.759 # 0.727 # 0.727
Is the vessel free from any visible valve or pipeline leakage?,"Pumping, piping and discharge arrangements # Scuppers, inlets and discharges # Cargo transfer - Tankers",0.708 # 0.704 # 0.674
"Are the ballast pumping systems, their associated instruments, controls, valves, and pipework in good order and is there recorded evidence of regular inspection?","Ballast, fuel and other tanks # Pumping, piping and discharge arrangements # Loading/Ballast condition (Tanker)",0.712 # 0.704 # 0.686
Are the ballast valves in good order and being maintained?,"Ballast, fuel and other tanks # Loading/Ballast condition (Tanker) # Maintenance of Fire protection systems",0.692 # 0.678 # 0.661
Are ballast tank manholes being maintained in good condition?,"Manholes / flush scuttles # Ballast, fuel and other tanks # Loading/Ballast condition (Tanker)",0.704 # 0.690 # 0.657
Is the vessel free of any hull repairs unreported to class? (V)?,Hull damage impairing seaworthiness # Logbook entries referring AFS # Bulkheads - operational damage,0.706 # 0.705 # 0.690
"Does the SMS include procedures for regular inspection of cargo holds, ballast tanks, void spaces, trunks, duct keel and cofferdams by the ship’s personnel and are records maintained? (V)?",ISM # Operation/maintenance # Cargo securing manual,0.756 # 0.754 # 0.742
Is the enhanced survey report file adequately maintained and does the condition evaluation report confirm the fitness of the ship for its intended service for the next five years?,Enhanced survey programme (ESP) # Condition Assessment Scheme # Loading/Ballast condition (Tanker),0.723 # 0.709 # 0.706
"Are the access points to cargo holds, ballast tanks, and void spaces including vertical ladders, spiral ladders, rungs, stations, and platforms being maintained and in good order? (V)?","Safe means of access deck - hold/tank, etc. # Permanent means of access # Safe means of access",0.767 # 0.764 # 0.739
Are the air pipes and sounding pipes in the cargo holds and void spaces in good condition? (V)?,Spaces in cargo areas # Atmosphere testing instruments # Cargo pump room,0.714 # 0.706 # 0.705
"Is if the vessel has a duct keel, is the access, mechanical ventilator, and lighting adequate and is it free of water? (V)?","Ventilators, air pipes, casings # Ventilation (Accommodation) # Windows, side scuttles and deadlights",0.657 # 0.654 # 0.650
Is the vessel free of any apparent structural defects? (V)?,Hull damage impairing seaworthiness # Cargo ship safety construction (including exempt.) # Bulkheads - cracking,0.676 # 0.673 # 0.660
Are cargo hold ventilation systems being maintained in good condition? (V)?,Cargo tank vent system # Ventilation procedures / equipment # Ventilation (Accommodation),0.719 # 0.711 # 0.707
"Is adequate manifold spill containment provided under the bunker manifolds, and are they clean and empty? (V)?","Fire protection cargo deck area # Cargo pump room # Ballast, fuel and other tanks",0.703 # 0.703 # 0.691
Is bunker transfer system hydrostatically tested to their Maximum Allowable Working Pressure (MAWP) on an annual basis and to 1.5 times their MAWP at least twice within any five years period?,Hydrostatically balanced loading # Cargo transfer - Tankers # Loading/Ballast condition (Tanker),0.709 # 0.681 # 0.671
"Are the drains, vents, and pressure gauges at the bunker manifolds in good order and blanks fitted when not in use? (V)?","Cargo tank vent system # Ventilation procedures / equipment # Gauges, thermometers etc.",0.697 # 0.679 # 0.674
"Are save-alls fitted around all fuel, diesel, and lubricating oil tank vents; are they clean and empty, and is the drain plug secured with a strap chain to a save-all? (V)?",Cargo tank vent system # Jacketed high pressure lines and oil leakage alarm # Cargo transfer - Tankers,0.668 # 0.643 # 0.640
"Are there procedures for analysis of fuel, lubricating and hydraulic oils, and are oil sampling requirements aligned with equipment manufacturer’s recommendations? (V & M)?","Oil and oily mixtures from machinery spaces # Log-books/compulsory entries # Technical Files and if applicable, monitoring manual",0.683 # 0.678 # 0.676
Are SMS guidelines for the mitigation of engine damage due to catalytic fines and other potentially injurious elements or containments in place and being followed? (V & M)?,"Protection machinery # Diesel engine air pollution control # Technical Files and if applicable, monitoring manual",0.720 # 0.714 # 0.711
"Are bunkering and oil transfer operations carefully planned and executed in accordance with procedures, and are details of the last operation available? (V)?",Shipboard oil pollution emergency plan (SOPEP) # Cargo transfer - Tankers # Loading/Ballast condition (Tanker),0.736 # 0.723 # 0.709
"Can the vessel safely comply with the requirements of Emission Control Area (ECA) and other local requirements regarding use of very-low or ultra-low sulphur fuels in the main engine, auxiliary engines and boilers?",Quality of fuel oil # Sulphur oxides # Engine International Air Pollution Prevention Cert,0.770 # 0.746 # 0.729
"Are ship-specific procedures to control the change from residual to low-sulphur / distillate fuels and vice versa provided, and is the fuel oil change over logbook and data collection system being maintained correctly? (V & M)?","Quality of fuel oil # Technical Files and if applicable, monitoring manual # Ballast, fuel and other tanks",0.716 # 0.714 # 0.708
Are the Quick Closing Valves of the fuel system being regularly tested and in good order? (V)?,"Means of control (opening, pumps) Machinery spaces # Maintenance of Fire protection systems # Jacketed high pressure lines and oil leakage alarm",0.702 # 0.683 # 0.667
"Are high pressure fuel delivery pipes of diesel engines protected with a jacketed piping and alarm system, and is the alarm system being tested regularly and in good order? (V)?",Jacketed high pressure lines and oil leakage alarm # Inert gas alarm # Boiler-alarm,0.798 # 0.698 # 0.693
"Are purifier rooms and fuel and lubricating oil handling areas ventilated, free of oil leaks and clean? (V)?",Cleanliness of engine room # Cargo pump room # Ventilation (Working spaces),0.715 # 0.693 # 0.671
Is the reserve fuel tank of the emergency generator filled with sufficient fuel of a suitable type for at least 18 hours operation? (V)?,Reserve source of energy # Emergency source of power - Emergency generator # Emergency fire pump and its pipes,0.716 # 0.686 # 0.656
"Is there an approved LNG Fuel Handing and Emergency Procedure Manual, and are crew familiar with the bunkering and emergency procedures such as leakage, fire or potential fuel stratification resulting in rollover?",Liquefied gases in bulk # Liquefied gases in bulk (CoF/GC Code) # Fire protection cargo deck area,0.744 # 0.726 # 0.716
"Do the master, engineering officers and all personnel with immediate responsibility for the care and use of fuels and fuel systems on ship, hold a certificate in advanced training for service on the ships subject to the IGF Code?",Certificate for personnel on ships subject to the IGF Code # Certificate for rating able seafarer deck/engine and electro-technical # Certificate for personnel on tankers,0.789 # 0.722 # 0.716
"Do seafarers responsible for designated safety duties associated with the care, use or emergency response to the fuel onboard the ship, hold a certificate in basic training for service on ships subject to the IGF Code?",Certificate for personnel on ships subject to the IGF Code # Certificate for personnel on tankers # Certificate for rating able seafarer deck/engine and electro-technical,0.784 # 0.720 # 0.716
Does the schedule of drills and exercises related to LNG fuels address potential emergency shipboard situations and has it been conducted effectively?,Security drills # Abandon ship drills # Fire drills,0.738 # 0.737 # 0.724
Are hazardous areas marked with clearly visible warning signage and are the crew familiar with the special precautions and the risks for those areas?,Danger areas # Warning notices # Guards / fencing around dangerous machinery parts,0.749 # 0.732 # 0.709
